Time,Job Time,Chem 1 Conc - C1,Chem 2 Tote Conc - C2,Chem 3 Tote Conc - C3,Chem4 Conc - C4,Chem 5 Conc - C5,Chem 6 Conc - C6,Chem 7 Conc - C7,Chem 8 Conc - C8,Chem 9 Conc - C9,Chem 10 Conc - C10,Chem 1 Total - C1,Chem 2 Tote Total - C2,Chem 3 Tote - C3,Chem 4 Total - C4,Chem 5 - C5 Total,Chem 6 Total - C6,Chem 7 Total - C7,Chem 8 Total - C8,Chem 9  Total - C9,Chem 10 Total - C10,H1 Conc,BU Gel Conc,Primay Gel Conc,H1 Total,H2Total,Primary Gel Total,Surf Stage Number,Well Side PSI,Pump Side PSI,Combined Clean Rate,Combined Slurry Rate,Combined Clean Total,Combined Slurry Total,Wellhead Inline PPA,Wellhead Blender PPA,Wellhead Screw PPA,Screw Prop Total,Blender Prop Total,Inline Prop Total,Meas'd Btmh Press,Btm Prop Conc,Prop Stage Tot,Slurry Stage Tot,Wellbore Volume
(min) ,(date time), (gal/Mgal), (gal/Mgal), (gal/Mgal), (gal/Mgal), (gal/Mgal), (gal/Mgal), (gal/Mgal), (gal/Mgal), (gal/Mgal), (gal/Mgal), (gal), (gal), (gal), (gal), (gal), (gal), (gal), (gal), (gal), (gal), (gal/Mgal), (gal/Mgal), (gal/Mgal), (gal), (gal), (gal), , (psi), (psi), (bpm), (bpm), (bbls), (bbls), (lbm/gal), (lbm/gal), (lbm/gal), (lbs), (lbs), (lbs), (psi), (ppg), (klbs), (bbls), (bbls)
0,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6679.42,6727.76,6.25,0.98,6.78,3.04,0,0,0,0,0,-0.11,0,0,0,0,334.4
0.01667,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6680.48,6724.28,6.09,1.76,6.89,3.06,0,0,0,0,0,-0.12,0,0,0,0,334.4
0.03333,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6679.06,6726.76,5.83,1.21,6.98,3.09,0,0,0,0,0,-0.12,0,0,0,0,334.4
0.05,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6676.31,6723.13,5.62,1.62,7.07,3.12,0,0,0,0,0,-0.12,0,0,0,0,334.4
0.06667,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6677.82,6721.09,5.28,1.64,7.18,3.15,0,0,0,0,0,-0.12,0,0,0,0,334.4
0.08333,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6677.98,6720.93,4.17,1.9,7.23,3.18,0,0,0,0,0,-0.12,0,0,0,0,334.4
0.1,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6676.89,6724.8,5.47,1.73,7.33,3.21,0,0,0,0,0,-0.13,0,0,0,0,334.4
0.11667,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6680.76,6721.03,16.63,2.68,7.68,3.25,0,0,0,0,0,-0.13,0,0,0,0,334.4
0.13333,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6683.18,6726.12,21.94,1.9,8.02,3.29,0,0,0,0,0,-0.15,0,0,0,0,334.4
0.15,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6681.74,6720.07,23.4,1.39,8.37,3.32,0,0,0,0,0,-0.17,0,0,0,0,334.4
0.16667,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6681.76,6718.95,19.71,1.64,8.77,3.34,0,0,0,0,0,-0.18,0,0,0,0,334.4
0.18333,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6680.06,6718.55,16.01,1.21,9.01,3.38,0,0,0,0,0,-0.2,0,0,0,0,334.4
0.2,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6676.1,6720.09,11.25,2.94,9.16,3.4,0,0,0,0,0,-0.2,0,0,0,0,334.4
0.21667,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6678.93,6716.75,6.25,1.56,9.28,3.45,0,0,0,0,0,-0.2,0,0,0,0,334.4
0.23333,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6679.78,6715.84,3.15,1.13,9.32,3.47,0,0,0,0,0,-0.2,0,0,0,0,334.4
0.25,8/5/19 8:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6679.54,6715.35,1.09,1.9,9.34,3.5,0,0,0,0,0,-0.2,0,0,0,0,334.4
