Job Time (min),Dirty Rate (bpm),Pressure (psi),Slurry Total (bbls),Proppant Conc (ppg),Total Proppant (lbs),Friction Reducer (gpt)
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.98,6679.42,3.04,0.0,0.0,0.0
0.016669999999999997,1.76,6680.48,3.06,0.0,0.0,0.0
0.03333,1.21,6679.06,3.09,0.0,0.0,0.0
0.05,1.62,6676.31,3.12,0.0,0.0,0.0
0.06667000000000001,1.64,6677.82,3.15,0.0,0.0,0.0
0.08333,1.9,6677.98,3.18,0.0,0.0,0.0
0.1,1.73,6676.89,3.21,0.0,0.0,0.0
0.11667000000000001,2.68,6680.76,3.25,0.0,0.0,0.0
0.13333,1.9,6683.18,3.29,0.0,0.0,0.0
0.15,1.39,6681.74,3.32,0.0,0.0,0.0
0.16667,1.64,6681.76,3.34,0.0,0.0,0.0
0.18333,1.21,6680.06,3.38,0.0,0.0,0.0
0.2,2.94,6676.1,3.4,0.0,0.0,0.0
0.21666999999999997,1.56,6678.93,3.45,0.0,0.0,0.0
0.23333,1.13,6679.78,3.47,0.0,0.0,0.0
0.25,1.9,6679.54,3.5,0.0,0.0,0.0
0.26666999999999996,1.39,6679.13,3.54,0.0,0.0,0.0
0.28333,0.87,6676.22,3.55,0.0,0.0,0.0
0.3,1.3,6672.9,3.57,0.0,0.0,0.0
0.31667,0.95,6673.97,3.6,0.0,0.0,0.0
0.33333,1.99,6678.21,3.62,0.0,0.0,0.0
0.35,1.39,6679.89,3.68,0.0,0.0,0.0
0.36667,2.37,6678.68,3.73,0.0,0.0,0.0
0.38333,1.95,6676.54,3.76,0.0,0.0,0.0
0.4,0.35,6678.44,3.79,0.0,0.0,0.0
0.41667,0.95,6693.54,3.79,0.0,0.0,0.0
0.43333,1.46,6722.33,3.81,0.0,0.0,0.0
0.45,2.34,6745.66,3.84,0.0,0.0,0.0
0.46667,2.28,6763.59,3.88,0.0,0.0,0.0
0.48333000000000004,1.59,6765.25,3.92,0.0,0.0,0.0
0.5,1.85,6766.73,3.95,0.0,0.0,0.0
0.51667,1.9,6771.03,3.99,0.0,0.0,0.0
0.53333,1.9,6781.77,4.02,0.0,0.0,0.0
0.55,1.82,6805.07,4.05,0.0,0.0,0.0
0.56667,1.9,6830.9,4.09,0.0,0.0,0.0
0.58333,1.82,6850.73,4.13,0.0,0.0,0.0
0.6,1.82,6869.9,4.16,0.0,0.0,0.0
0.6166699999999999,1.9,6868.33,4.18,0.0,0.0,0.0
0.6333300000000001,1.82,6876.98,4.22,0.0,0.0,0.0
0.65,1.82,6882.76,4.26,0.0,0.0,0.0
0.66667,1.9,6894.16,4.29,0.0,0.0,0.0
0.68333,1.82,6909.75,4.32,0.0,0.0,0.0
0.7,1.86,6922.03,4.34,0.0,0.0,0.0
0.71667,1.77,6928.59,4.39,0.0,0.0,0.0
0.73333,2.16,6942.23,4.45,0.0,0.0,0.0
0.75,2.29,6947.94,4.47,0.0,0.0,0.0
0.76667,1.93,6954.78,4.5,0.0,0.0,0.0
0.78333,1.82,6962.74,4.54,0.0,0.0,0.0
0.8,1.82,6974.72,4.57,0.0,0.0,0.0
0.81667,1.82,6979.36,4.6,0.0,0.0,0.0
0.8333299999999999,1.82,6981.86,4.64,0.0,0.0,0.0
0.85,1.82,6988.51,4.67,0.0,0.0,0.0
0.86667,1.82,6992.85,4.7,0.0,0.0,0.0
0.88333,1.82,6998.38,4.73,0.0,0.0,0.0
0.9,1.82,7002.24,4.76,0.0,0.0,0.0
0.9166700000000001,1.82,7004.21,4.8,0.0,0.0,0.0
0.9333299999999999,1.82,7014.77,4.83,0.0,0.0,0.0
0.95,1.82,7013.98,4.86,0.0,0.0,0.0
0.96667,1.73,7021.03,4.89,0.0,0.0,0.0
0.9833299999999999,1.82,7033.8,4.93,0.0,0.0,0.0
1.0,2.42,7093.59,4.96,0.0,0.0,0.0
1.01667,3.98,7180.49,5.02,0.0,0.0,0.0
1.0333299999999999,5.02,7266.17,5.11,0.0,0.0,0.0
1.05,7.01,7354.52,5.22,0.0,0.0,0.0
1.06667,7.56,7435.1,5.38,0.0,0.0,0.0
1.08333,8.72,7491.44,5.51,0.0,0.0,0.0
1.1,9.46,7527.01,5.68,0.0,0.0,0.0
1.11667,10.17,7568.9,5.87,0.0,0.0,0.0
1.13333,10.04,7624.92,6.03,0.0,0.0,0.0
1.15,10.37,7668.46,6.19,0.0,0.0,0.0
1.16667,11.12,7711.47,6.4,0.0,0.0,0.0
1.18333,10.73,7747.93,6.58,0.0,0.0,0.0
1.2,10.58,7759.44,6.76,0.0,0.0,0.0
1.2166700000000001,10.25,7780.96,6.94,0.0,0.0,0.0
1.23333,10.01,7767.51,7.1,0.0,0.0,0.0
1.25,10.65,7785.67,7.28,0.0,0.0,0.0
1.26667,10.93,7766.45,7.48,0.0,0.0,0.0
1.2833299999999999,10.03,7768.9,7.64,0.0,0.0,0.0
1.3,10.25,7764.16,7.81,0.0,0.0,0.0
1.31667,10.34,7760.54,8.01,0.0,0.0,0.0
1.33333,9.87,7737.41,8.17,0.0,0.0,0.0
